Entries	LFQ intensity A375 R1	LFQ intensity A375 R2	LFQ intensity A375 R3	LFQ intensity HS68 R1	LFQ intensity HS68 R2	LFQ intensity HS68 R3	LFQ intensity HS895SK R1	LFQ intensity HS895SK R2	LFQ intensity HS895SK R3	LFQ intensity HS895T R1	LFQ intensity HS895T R2	LFQ intensity HS895T R3	LFQ intensity SH4 R1	LFQ intensity SH4 R2	LFQ intensity SH4 R3
P06733	1765100000	1440400000	1570900000	631850000	720160000	709830000	842240000	821010000	690140000	350080000	364210000	323640000	754130000	894440000	781300000
P14618	1415500000	1212200000	1273500000	1150800000	1326600000	1393600000	1611300000	1735700000	1618100000	1057700000	975400000	1111100000	1297900000	1200900000	1125900000
P68363	1301400000	1093000000	1134700000	1050400000	1002200000	868010000	1360400000	1405500000	1182300000	1779200000	1549500000	1464400000	1039300000	1160100000	1074600000
P68104	1101500000	832890000	903910000	1083000000	1249500000	1265100000	964620000	989040000	941140000	1044700000	949650000	1169000000	686780000	750420000	746560000
P00558	968570000	829080000	991610000	286340000	309930000	273750000	648860000	663670000	606880000	365380000	350450000	328660000	1017600000	1072000000	937590000
P60709	927150000	1021000000	933810000	3584800000	3492000000	3583000000	2235200000	2332600000	2288000000	3538200000	4004800000	4201800000	1303600000	1253200000	1160000000
P23528	925420000	802830000	941900000	555170000	615890000	669410000	400780000	421220000	357810000	469620000	439100000	406120000	355810000	342340000	329470000
P13639	844860000	684900000	715270000	673290000	720960000	741010000	412200000	467020000	447830000	425490000	429200000	428980000	792010000	705490000	665170000
P04406	832450000	823280000	734880000	582840000	581930000	615780000	756850000	576810000	805330000	506350000	605180000	444660000	543460000	557160000	612700000
P62937	801240000	638480000	672550000	433670000	445000000	407060000	570150000	581520000	544510000	423920000	423000000	371770000	496160000	553730000	469900000
P07900	710600000	789930000	666770000	453490000	433130000	464770000	359890000	365240000	369580000	300500000	303750000	280740000	1302200000	1387900000	1271900000
P07437	708130000	693990000	579830000	593870000	518780000	391170000	790710000	912810000	722530000	1124300000	1012800000	1022900000	750710000	725230000	596190000
P08238	662060000	658470000	583310000	247300000	252830000	267220000	216320000	203740000	190650000	206510000	200320000	194150000	772480000	769660000	743310000
P60174	653540000	525670000	692080000	260680000	267750000	303890000	556550000	564110000	504130000	263490000	230220000	252280000	333650000	340850000	307280000
P07355	623270000	667790000	701950000	1961500000	2080600000	2148400000	2459800000	2551000000	2328700000	1761300000	1843000000	1882300000	263620000	265270000	282680000
P04083	608440000	638060000	619380000	523350000	598550000	582390000	848580000	810270000	787130000	775910000	795030000	784350000	187340000	181880000	182480000
P11142	569480000	602550000	545990000	326240000	308770000	321270000	284930000	271120000	259690000	426120000	436890000	415880000	548390000	516060000	550300000
P00338	559960000	546480000	613740000	956940000	1007200000	968880000	1292600000	1389000000	1670700000	593760000	544400000	577350000	765070000	756050000	746840000
P04075	496540000	574510000	542920000	419840000	462240000	513940000	527700000	567170000	489540000	401540000	432300000	490920000	529670000	622120000	471370000
P07737	479380000	408830000	488930000	504770000	520630000	473290000	390140000	417500000	417630000	463360000	418490000	455780000	378320000	373850000	313920000
P14625	438930000	554970000	475610000	383840000	340020000	309300000	395560000	449730000	414290000	300800000	269120000	311660000	606280000	553330000	498570000
P29401	382940000	361530000	332550000	175220000	205430000	188710000	254570000	257950000	271980000	114240000	107540000	107220000	275800000	268550000	275530000
Q09666	378540000	357160000	304140000	1057300000	1223600000	1083200000	794840000	865410000	686950000	979960000	906690000	907710000	180800000	183700000	185180000
P07195	359540000	270120000	262390000	154860000	161030000	168970000	115040000	136740000	113250000	118930000	125480000	109060000	646690000	698210000	552360000
P37802	351690000	292440000	335060000	298980000	334550000	344710000	574070000	586290000	514790000	296270000	277680000	237720000	100920000	108610000	105310000
