From	To
A0AVT1	9606.ENSP00000313454
A1X283	9606.ENSP00000309714
A2RUC4	9606.ENSP00000346627
A5YKK6	9606.ENSP00000320949
Q9GZQ8	9606.ENSP00000268607
A6NDG6	9606.ENSP00000330918
A6NHL2	9606.ENSP00000369784
A6NI15	9606.ENSP00000281047
P62308	9606.ENSP00000272348
P0DPB3	9606.ENSP00000420182
O00116	9606.ENSP00000264167
O00148	9606.ENSP00000242776
O00151	9606.ENSP00000360305
O00154	9606.ENSP00000367086
O00159	9606.ENSP00000352834
O00160	9606.ENSP00000344871
O00170	9606.ENSP00000279146
O00186	9606.ENSP00000359025
O00193	9606.ENSP00000228136
O00203	9606.ENSP00000255194
O00231	9606.ENSP00000261712
O00232	9606.ENSP00000348442
O00233	9606.ENSP00000440485
O00244	9606.ENSP00000316854
O00264	9606.ENSP00000217971
O00273	9606.ENSP00000366237
O00291	9606.ENSP00000336747
O00299	9606.ENSP00000364934
O00303	9606.ENSP00000310040
O00399	9606.ENSP00000221114
O00410	9606.ENSP00000261574
O00425	9606.ENSP00000258729
O00429	9606.ENSP00000450399
O00442	9606.ENSP00000260563
O00469	9606.ENSP00000282903
O00487	9606.ENSP00000386541
O00499	9606.ENSP00000316779
O00534	9606.ENSP00000376504
O00560	9606.ENSP00000260130
O00571	9606.ENSP00000382840
O00622	9606.ENSP00000398736
O00625	9606.ENSP00000369785
O00629	9606.ENSP00000334373
O00754	9606.ENSP00000395473
O00764	9606.ENSP00000291565
O14530	9606.ENSP00000264255
O14556	9606.ENSP00000222286
O14558	9606.ENSP00000004982
O14562	9606.ENSP00000379217
O14579	9606.ENSP00000262812
P47813	9606.ENSP00000368927
O14737	9606.ENSP00000466214
O14744	9606.ENSP00000319169
O14745	9606.ENSP00000262613
O14773	9606.ENSP00000299427
O14787	9606.ENSP00000407182
O14817	9606.ENSP00000380552
O14818	9606.ENSP00000359910
O14828	9606.ENSP00000307275
O14907	9606.ENSP00000225525
O14908	9606.ENSP00000340698
O14929	9606.ENSP00000264108
P19105	9606.ENSP00000217652
O14964	9606.ENSP00000331201
O14974	9606.ENSP00000261207
O14979	9606.ENSP00000295470
O14980	9606.ENSP00000384863
O15067	9606.ENSP00000313490
O15116	9606.ENSP00000310596
O15143	9606.ENSP00000252725
O15144	9606.ENSP00000295685
O15145	9606.ENSP00000228825
O15173	9606.ENSP00000429301
O15212	9606.ENSP00000363734
O15258	9606.ENSP00000302088
O15260	9606.ENSP00000361057
O15305	9606.ENSP00000268261
O15347	9606.ENSP00000359393
O15355	9606.ENSP00000264714
O15371	9606.ENSP00000216190
O15372	9606.ENSP00000429931
O15427	9606.ENSP00000376150
O15460	9606.ENSP00000166534
O15488	9606.ENSP00000370555
O15498	9606.ENSP00000223369
O15511	9606.ENSP00000352918
O43143	9606.ENSP00000336741
O43169	9606.ENSP00000308430
O43175	9606.ENSP00000358417
O43237	9606.ENSP00000258198
O43242	9606.ENSP00000264639
O43252	9606.ENSP00000265174
O43294	9606.ENSP00000378332
O43324	9606.ENSP00000369038
O43390	9606.ENSP00000363745
O43396	9606.ENSP00000217515
O43447	9606.ENSP00000306614
O43488	9606.ENSP00000235835
O43491	9606.ENSP00000338481
O43493	9606.ENSP00000386443
O43504	9606.ENSP00000256644
O43583	9606.ENSP00000280557
O43592	9606.ENSP00000327821
O43598	9606.ENSP00000230431
O43617	9606.ENSP00000362261
O43639	9606.ENSP00000233154
O43665	9606.ENSP00000358099
O43681	9606.ENSP00000349887
O43684	9606.ENSP00000357858
O43707	9606.ENSP00000252699
O43747	9606.ENSP00000377148
O43765	9606.ENSP00000221566
O43776	9606.ENSP00000256854
O43809	9606.ENSP00000300291
O43813	9606.ENSP00000233714
O43847	9606.ENSP00000346890
O43852	9606.ENSP00000420381
O43854	9606.ENSP00000296591
O43896	9606.ENSP00000320821
O43924	9606.ENSP00000287600
O60232	9606.ENSP00000312318
O60271	9606.ENSP00000262013
O60313	9606.ENSP00000354681
O60343	9606.ENSP00000366863
O60443	9606.ENSP00000339587
O60488	9606.ENSP00000339787
O60493	9606.ENSP00000230085
O60502	9606.ENSP00000354850
O60504	9606.ENSP00000240123
O60506	9606.ENSP00000358635
O60565	9606.ENSP00000300177
O60568	9606.ENSP00000223127
O60610	9606.ENSP00000381565
O60613	9606.ENSP00000328729
O60664	9606.ENSP00000221957
O60701	9606.ENSP00000319501
O60711	9606.ENSP00000431284
O60716	9606.ENSP00000382004
O60749	9606.ENSP00000368831
O60784	9606.ENSP00000413697
Q99879	9606.ENSP00000352442
O60826	9606.ENSP00000365401
O60831	9606.ENSP00000365570
O60841	9606.ENSP00000289371
O60869	9606.ENSP00000224073
O60884	9606.ENSP00000314030
O60888	9606.ENSP00000363624
Q9BZK7	9606.ENSP00000405574
O60925	9606.ENSP00000261813
O75083	9606.ENSP00000427687
O75116	9606.ENSP00000317985
O75131	9606.ENSP00000198765
O75146	9606.ENSP00000253083
O75153	9606.ENSP00000388872
O75157	9606.ENSP00000354543
O75223	9606.ENSP00000275428
O75312	9606.ENSP00000227322
O75340	9606.ENSP00000264933
O75347	9606.ENSP00000369736
O75348	9606.ENSP00000363162
O75368	9606.ENSP00000362308
O75369	9606.ENSP00000420213
O75390	9606.ENSP00000342056
O75391	9606.ENSP00000206020
O75436	9606.ENSP00000263559
O75475	9606.ENSP00000370109
O75506	9606.ENSP00000392896
O75521	9606.ENSP00000369461
O75531	9606.ENSP00000310275
O75533	9606.ENSP00000335321
O75534	9606.ENSP00000407724
O75608	9606.ENSP00000320043
O75643	9606.ENSP00000317123
O75663	9606.ENSP00000356807
O75688	9606.ENSP00000282412
O75694	9606.ENSP00000231498
O75717	9606.ENSP00000353793
O75718	9606.ENSP00000323696
O75821	9606.ENSP00000253108
O75822	9606.ENSP00000261868
O75828	9606.ENSP00000290354
O75832	9606.ENSP00000217958
O75874	9606.ENSP00000260985
O75886	9606.ENSP00000263904
O75891	9606.ENSP00000377083
O75937	9606.ENSP00000263697
O75947	9606.ENSP00000301587
O76003	9606.ENSP00000330836
O76071	9606.ENSP00000418287
O76074	9606.ENSP00000347046
O76094	9606.ENSP00000342181
O94760	9606.ENSP00000284031
O94804	9606.ENSP00000176763
O94808	9606.ENSP00000253778
O94826	9606.ENSP00000284320
O94855	9606.ENSP00000280551
O94888	9606.ENSP00000296328
O94903	9606.ENSP00000333551
O94925	9606.ENSP00000317379
O94973	9606.ENSP00000413234
O94979	9606.ENSP00000347329
O95202	9606.ENSP00000305653
O95232	9606.ENSP00000240304
O95302	9606.ENSP00000242209
O95336	9606.ENSP00000252603
O95340	9606.ENSP00000406157
O95347	9606.ENSP00000286398
O95372	9606.ENSP00000363638
O95373	9606.ENSP00000369042
O95394	9606.ENSP00000425809
O95433	9606.ENSP00000216479
O95479	9606.ENSP00000366620
O95486	9606.ENSP00000381823
O95487	9606.ENSP00000265175
O95571	9606.ENSP00000292147
O95573	9606.ENSP00000350012
O95747	9606.ENSP00000311713
O95782	9606.ENSP00000351926
O95793	9606.ENSP00000360922
O95810	9606.ENSP00000305675
O95816	9606.ENSP00000359727
O95817	9606.ENSP00000358081
O95834	9606.ENSP00000442365
O95861	9606.ENSP00000318852
O95865	9606.ENSP00000364943
O95881	9606.ENSP00000360688
O95980	9606.ENSP00000367202
O96019	9606.ENSP00000397552
P00338	9606.ENSP00000445175
P00352	9606.ENSP00000297785
P00367	9606.ENSP00000277865
P00374	9606.ENSP00000396308
P00387	9606.ENSP00000354468
P00390	9606.ENSP00000221130
P00403	9606.ENSP00000354876
P00441	9606.ENSP00000270142
P00491	9606.ENSP00000354532
P00492	9606.ENSP00000298556
P00505	9606.ENSP00000245206
P00558	9606.ENSP00000362413
P00568	9606.ENSP00000362249
P00813	9606.ENSP00000361965
P00966	9606.ENSP00000253004
P01011	9606.ENSP00000376793
P01023	9606.ENSP00000323929
P01033	9606.ENSP00000218388
P01112	9606.ENSP00000309845
P01344	9606.ENSP00000391826
P01583	9606.ENSP00000263339
P02452	9606.ENSP00000225964
P02461	9606.ENSP00000304408
P02511	9606.ENSP00000227251
P02545	9606.ENSP00000357283
P02786	9606.ENSP00000353224
P02792	9606.ENSP00000366525
P02794	9606.ENSP00000273550
P02795	9606.ENSP00000245185
P03956	9606.ENSP00000322788
P04040	9606.ENSP00000241052
P04062	9606.ENSP00000314508
P04075	9606.ENSP00000336927
P04080	9606.ENSP00000291568
P04083	9606.ENSP00000257497
P04179	9606.ENSP00000356022
P04181	9606.ENSP00000357838
P04216	9606.ENSP00000284240
P04271	9606.ENSP00000291700
P04350	9606.ENSP00000264071
P04406	9606.ENSP00000229239
P04424	9606.ENSP00000307188
P04632	9606.ENSP00000246533
P04792	9606.ENSP00000248553
P04843	9606.ENSP00000296255
P04844	9606.ENSP00000237530
P04899	9606.ENSP00000312999
Q99878	9606.ENSP00000328484
P05023	9606.ENSP00000295598
P05091	9606.ENSP00000261733
P05109	9606.ENSP00000357721
P05114	9606.ENSP00000370125
P05120	9606.ENSP00000299502
P05121	9606.ENSP00000223095
P05141	9606.ENSP00000360671
P05161	9606.ENSP00000368699
P05198	9606.ENSP00000256383
P05204	9606.ENSP00000355228
P05362	9606.ENSP00000264832
P05386	9606.ENSP00000346037
P05387	9606.ENSP00000322419
P05388	9606.ENSP00000339027
P05455	9606.ENSP00000260956
P05556	9606.ENSP00000303351
P05783	9606.ENSP00000373487
P05976	9606.ENSP00000307280
P05997	9606.ENSP00000364000
P06132	9606.ENSP00000246337
P06396	9606.ENSP00000362924
P06454	9606.ENSP00000344547
P06493	9606.ENSP00000378699
P06576	9606.ENSP00000262030
P06702	9606.ENSP00000357727
P06703	9606.ENSP00000357708
P06733	9606.ENSP00000234590
P06737	9606.ENSP00000216392
P06748	9606.ENSP00000296930
P06753	9606.ENSP00000357516
P06756	9606.ENSP00000261023
P07093	9606.ENSP00000415786
P07099	9606.ENSP00000272167
P07108	9606.ENSP00000440698
P07195	9606.ENSP00000229319
P07237	9606.ENSP00000327801
P07305	9606.ENSP00000344504
P07339	9606.ENSP00000236671
P07355	9606.ENSP00000346032
P07384	9606.ENSP00000279247
P07437	9606.ENSP00000339001
P07476	9606.ENSP00000357753
P07602	9606.ENSP00000378394
P07686	9606.ENSP00000261416
P07711	9606.ENSP00000345344
P07737	9606.ENSP00000225655
P07741	9606.ENSP00000367615
P07814	9606.ENSP00000355890
P07858	9606.ENSP00000342070
P07900	9606.ENSP00000335153
P07910	9606.ENSP00000319690
P07942	9606.ENSP00000222399
